1,20/11/2000,Dr. TomHanks,Kingsway,6041921922,200
2,14/2/1995,Dr. Gabriel V,New West,2505833855,500
3,3/2/1998,Dr. Paul Gillands,Richmond,7786193587,300
4,27/2/2000,Dr. Kieran Tierny,Vancouver,7787797799,200
5,26/3/1990,Dr. Goh Chok Tong,Burnaby,2245073636,150
6,30/4/2005,Dr. Keng Swee,Kingsway,1010101010,300
7,2/9/1995,Dr. Dep Trai,Richmond,6047814111,300
8,19/5/2015,Dr. Tks,Burnaby,2501213555,150
9,1/6/2014,Dr. Kym,Richmond,6048841014,500
10,7/9/2004,Dr. Veronica,New West,6041018455,150
11,13/10/2001,Dr. Quan,Vancouver,7789992629,200
12,22/12/1998,Dr. Hoang,Vancouver,6048989553,150
13,25/12/1997,Dr. Chart,Kingsway,7781870000,300
14,26/12/1989,Dr. Nguyen,Burnaby,6049175268,200
15,19/8/2020,Dr. Lynk,Richmond,2501118125,300
16,20/10/2002,Dr. BinhMinh,Richmond,7794156987,500
17,10/10/1996,Dr. OnVK,Lougheed,2746895216,150
18,6/7/1999,Dr. Charles,Kingsway,7789225665,250
19,17/11/2010,Dr. Sepherd,Vancouver,7789220300,200
20,23/10/2018,Dr. Het Isak,New West,2506664444,400
